customerID,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn,tenure,Charges.Daily,Charges.Monthly,Charges.Total,Charges.Daily_range,Charges.Monthly_range,Charges.Total_range,tenure_range
3247-MHJKM,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,No,1,0.6733333333333333,20.2,20.2,0 - 1.0,18.0-35.0,0 - 396.0,0-12
3247-ZVOUO,Male,1,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,Yes,10,2.8516666666666666,85.55,851.75,2.5-3.0,80.0-90.0,396.0-1142.5,0-12
3249-VHRIP,Female,0,No,No,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),No,62,1.4533333333333334,43.6,2748.7,1.0-1.5,35.0-50.0,1389.0-3411.5,60+
3249-ZPQRG,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,Yes,4,2.615,78.45,330.05,2.5-3.0,70.0-80.0,0 - 396.0,0-12
3251-YMVWZ,Male,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),No,53,0.8016666666666666,24.05,1301.9,0 - 1.0,18.0-35.0,1142.5-1389.0,48-60
3253-HKOKL,Female,0,Yes,Yes,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,No,52,3.3433333333333333,100.3,5244.45,3.0-4.0,90.0-119.0,3779.0-8685.0,48-60
3254-YRILK,Male,1,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes,19,2.94,88.2,1775.8,2.5-3.0,80.0-90.0,1389.0-3411.5,12-24
3255-GRXMG,Male,0,No,Yes,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),No,18,1.5216666666666667,45.65,747.2,1.5-2.0,35.0-50.0,396.0-1142.5,12-24
3256-EZDBI,Male,1,Yes,No,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),No,51,0.9816666666666667,29.45,1459.35,0 - 1.0,18.0-35.0,1389.0-3411.5,48-60
3258-SANFR,Male,1,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),No,6,1.49,44.7,276.5,1.0-1.5,35.0-50.0,0 - 396.0,0-12
3258-SYSWS,Male,1,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),No,72,3.7933333333333334,113.8,7845.8,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
3258-ZKPAI,Male,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),No,72,3.8866666666666663,116.6,8337.45,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
3259-FDWOY,Male,0,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),Yes,71,3.533333333333333,106.0,7723.7,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
3259-KNMRR,Male,1,No,No,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),No,57,2.658333333333333,79.75,4438.2,2.5-3.0,70.0-80.0,3779.0-8685.0,48-60
3259-QMXUN,Male,0,Yes,No,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,No,58,2.8699999999999997,86.1,4890.5,2.5-3.0,80.0-90.0,3779.0-8685.0,48-60
3261-CQXOL,Female,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),No,71,0.8483333333333333,25.45,1813.35,0 - 1.0,18.0-35.0,1389.0-3411.5,60+
3262-EIDHV,Female,0,Yes,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),No,72,2.8233333333333333,84.7,5893.9,2.5-3.0,80.0-90.0,3779.0-8685.0,60+
3266-FTKHB,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,No,17,0.6383333333333333,19.15,343.45,0 - 1.0,18.0-35.0,0 - 396.0,12-24
3269-ATYWD,Male,1,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes,39,3.1883333333333335,95.65,3759.05,3.0-4.0,90.0-119.0,3411.5-3779.0,36-48
3272-VUHPV,Female,0,Yes,Yes,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),No,8,1.8766666666666665,56.3,401.5,1.5-2.0,50.0-70.0,396.0-1142.5,0-12
3274-NSDWE,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),No,68,0.6533333333333334,19.6,1441.65,0 - 1.0,18.0-35.0,1389.0-3411.5,60+
3275-RHRNE,Male,0,Yes,Yes,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),No,28,2.0,60.0,1682.05,2.0-2.5,50.0-70.0,1389.0-3411.5,24-36
3276-HDUEG,Female,0,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,Yes,1,2.5016666666666665,75.05,75.05,2.5-3.0,70.0-80.0,0 - 396.0,0-12
3278-FSIXX,Female,0,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,No,2,1.5083333333333333,45.25,74.2,1.5-2.0,35.0-50.0,0 - 396.0,0-12
3279-DYZQM,Male,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,No,71,0.6483333333333333,19.45,1378.45,0 - 1.0,18.0-35.0,1142.5-1389.0,60+
3280-MRDOF,Male,1,No,No,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),No,30,2.3033333333333332,69.1,2093.9,2.0-2.5,50.0-70.0,1389.0-3411.5,24-36
3280-NMUVX,Male,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),No,34,0.6533333333333334,19.6,678.8,0 - 1.0,18.0-35.0,396.0-1142.5,24-36
3282-ZISZV,Male,0,No,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),No,32,2.79,83.7,2633.3,2.5-3.0,80.0-90.0,1389.0-3411.5,24-36
3283-WCWXT,Male,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,No,6,0.8466666666666666,25.4,153.3,0 - 1.0,18.0-35.0,0 - 396.0,0-12
3284-SVCRO,Female,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,No,45,0.85,25.5,1121.05,0 - 1.0,18.0-35.0,396.0-1142.5,36-48
3285-UCQVC,Female,0,No,No,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),Yes,37,0.9533333333333334,28.6,973.55,0 - 1.0,18.0-35.0,396.0-1142.5,36-48
3292-PBZEJ,Male,1,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No,11,3.7133333333333334,111.4,1183.05,3.0-4.0,90.0-119.0,1142.5-1389.0,0-12
3295-YVUSR,Male,1,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,No,2,2.42,72.6,154.3,2.0-2.5,70.0-80.0,0 - 396.0,0-12
3296-SILRA,Female,1,Yes,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,Yes,1,2.546666666666667,76.4,76.4,2.5-3.0,70.0-80.0,0 - 396.0,0-12
3298-QEICA,Female,0,Yes,Yes,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Mailed check,No,23,1.1533333333333333,34.6,813.45,1.0-1.5,18.0-35.0,396.0-1142.5,12-24
3301-LSLWQ,Female,0,No,No,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,No,29,2.203333333333333,66.1,1912.15,2.0-2.5,50.0-70.0,1389.0-3411.5,24-36
3301-VKTGC,Male,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),No,68,2.85,85.5,5696.6,2.5-3.0,80.0-90.0,3779.0-8685.0,60+
3307-TLCUD,Male,0,Yes,No,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,No,17,1.1466666666666667,34.4,592.75,1.0-1.5,18.0-35.0,396.0-1142.5,12-24
3308-DGHKL,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),No,69,0.6433333333333333,19.3,1447.9,0 - 1.0,18.0-35.0,1389.0-3411.5,60+
3308-JSGML,Male,1,Yes,No,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No,59,2.135,64.05,3886.85,2.0-2.5,50.0-70.0,3779.0-8685.0,48-60
3308-MHOOC,Male,0,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,No,1,0.64,19.2,19.2,0 - 1.0,18.0-35.0,0 - 396.0,0-12
3312-UUMZW,Male,0,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),No,32,3.295,98.85,3145.9,3.0-4.0,90.0-119.0,1389.0-3411.5,24-36
3312-ZWLGF,Male,1,Yes,No,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,No,29,2.643333333333333,79.3,2414.55,2.5-3.0,70.0-80.0,1389.0-3411.5,24-36
3313-QKNKB,Male,0,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,Yes,59,2.8516666666666666,85.55,5084.65,2.5-3.0,80.0-90.0,3779.0-8685.0,48-60
3315-IKYZQ,Male,0,Yes,Yes,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Mailed check,No,28,1.6933333333333331,50.8,1386.8,1.5-2.0,50.0-70.0,1142.5-1389.0,24-36
3315-TOTBP,Male,0,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,Yes,15,2.533333333333333,76.0,1130.85,2.5-3.0,70.0-80.0,396.0-1142.5,12-24
3316-UWXUY,Male,0,No,No,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),No,50,3.1166666666666667,93.5,4747.5,3.0-4.0,90.0-119.0,3779.0-8685.0,48-60
3317-HRTNN,Female,1,No,No,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,Yes,5,1.5233333333333334,45.7,198.0,1.5-2.0,35.0-50.0,0 - 396.0,0-12
3317-VLGQT,Female,0,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,No,14,2.603333333333333,78.1,1122.4,2.5-3.0,70.0-80.0,396.0-1142.5,12-24
3318-ISQFQ,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),No,20,0.65,19.5,413.0,0 - 1.0,18.0-35.0,396.0-1142.5,12-24
3318-NMQXL,Male,0,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,No,3,3.066666666666667,92.0,266.8,3.0-4.0,90.0-119.0,0 - 396.0,0-12
3318-OSATS,Male,1,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,35,3.1816666666666666,95.45,3474.05,3.0-4.0,90.0-119.0,3411.5-3779.0,24-36
3319-DWOEP,Male,1,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,6,3.191666666666667,95.75,573.75,3.0-4.0,90.0-119.0,396.0-1142.5,0-12
3320-VEOYC,Male,1,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,No,14,3.1866666666666665,95.6,1273.3,3.0-4.0,90.0-119.0,1142.5-1389.0,12-24
3323-CPBWR,Male,0,No,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),No,23,3.23,96.9,2085.45,3.0-4.0,90.0-119.0,1389.0-3411.5,12-24
3324-OIRTO,Male,0,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),No,71,3.4883333333333337,104.65,7288.4,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
3325-FUYCG,Male,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,Yes,28,3.5366666666666666,106.1,2847.4,3.0-4.0,90.0-119.0,1389.0-3411.5,24-36
3327-YBAKM,Female,0,Yes,No,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,No,64,3.23,96.9,6314.35,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
3329-WDIOK,Female,0,No,No,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,3,1.6866666666666668,50.6,155.35,1.5-2.0,50.0-70.0,0 - 396.0,0-12
3331-HQDTW,Female,0,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,Yes,34,3.6599999999999997,109.8,3587.25,3.0-4.0,90.0-119.0,3411.5-3779.0,24-36
3334-CTHOL,Female,0,No,No,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes,1,1.665,49.95,49.95,1.5-2.0,35.0-50.0,0 - 396.0,0-12
3336-JORSO,Female,1,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,33,3.6816666666666666,110.45,3655.45,3.0-4.0,90.0-119.0,3411.5-3779.0,24-36
3337-EUOON,Male,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),Yes,69,0.8666666666666667,26.0,1796.55,0 - 1.0,18.0-35.0,1389.0-3411.5,60+
3338-CVVEH,Male,0,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,No,12,3.1516666666666664,94.55,1173.55,3.0-4.0,90.0-119.0,1142.5-1389.0,0-12
3339-EAQNV,Male,1,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),No,72,3.2416666666666667,97.25,7133.1,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
3340-QBBFM,Male,1,Yes,No,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,No,Credit card (automatic),No,36,1.8033333333333335,54.1,1992.85,1.5-2.0,50.0-70.0,1389.0-3411.5,24-36
3345-CSCIA,Male,0,No,No,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),Yes,68,2.5633333333333335,76.9,5023.0,2.5-3.0,70.0-80.0,3779.0-8685.0,60+
3345-JHUEO,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,No,4,0.6733333333333333,20.2,55.7,0 - 1.0,18.0-35.0,0 - 396.0,0-12
3345-PBBFH,Male,0,Yes,No,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),No,8,1.6516666666666666,49.55,393.45,1.5-2.0,35.0-50.0,0 - 396.0,0-12
3346-BRMIS,Female,1,Yes,No,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,18,1.6116666666666668,48.35,810.7,1.5-2.0,35.0-50.0,396.0-1142.5,12-24
3347-YJZZE,Male,0,Yes,Yes,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),No,29,2.67,80.1,2211.8,2.5-3.0,80.0-90.0,1389.0-3411.5,24-36
3348-CFRNX,Female,0,Yes,No,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,Yes,28,3.078333333333333,92.35,2602.9,3.0-4.0,90.0-119.0,1389.0-3411.5,24-36
3349-ANQNH,Female,1,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,No,59,3.316666666666667,99.5,5890.0,3.0-4.0,90.0-119.0,3779.0-8685.0,48-60
3351-NGXYI,Female,1,No,No,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,No,16,1.8033333333333335,54.1,889.0,1.5-2.0,50.0-70.0,396.0-1142.5,12-24
3351-NQLDI,Female,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),Yes,67,3.145,94.35,6341.45,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
3352-ALMCK,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,No,40,3.421666666666667,102.65,4108.15,3.0-4.0,90.0-119.0,3779.0-8685.0,36-48
3352-RICWQ,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,No,9,0.6583333333333333,19.75,210.65,0 - 1.0,18.0-35.0,0 - 396.0,0-12
3354-OADJP,Female,0,No,No,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),No,8,1.8083333333333333,54.25,447.75,1.5-2.0,50.0-70.0,396.0-1142.5,0-12
3359-DSRKA,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,No,58,0.6616666666666667,19.85,1158.85,0 - 1.0,18.0-35.0,1142.5-1389.0,48-60
3363-DTIVD,Male,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,No,71,3.518333333333333,105.55,7405.5,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
3363-EWLGO,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,No,5,0.6649999999999999,19.95,109.6,0 - 1.0,18.0-35.0,0 - 396.0,0-12
3365-SAIGS,Female,0,No,No,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,No,17,2.7849999999999997,83.55,1329.15,2.5-3.0,80.0-90.0,1142.5-1389.0,12-24
3370-GQEAL,Male,0,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,No,30,2.8483333333333336,85.45,2509.95,2.5-3.0,80.0-90.0,1389.0-3411.5,24-36
3370-HXOPH,Female,0,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,No,3,2.5366666666666666,76.1,257.6,2.5-3.0,70.0-80.0,0 - 396.0,0-12
3372-CDXFJ,Male,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),No,13,0.8166666666666667,24.5,343.6,0 - 1.0,18.0-35.0,0 - 396.0,12-24
3372-KWFBM,Male,1,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes,16,2.8866666666666663,86.6,1281.0,2.5-3.0,80.0-90.0,1142.5-1389.0,12-24
3373-DIUUN,Male,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,No,30,0.7083333333333334,21.25,711.9,0 - 1.0,18.0-35.0,396.0-1142.5,24-36
3373-YZZYM,Male,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,No,1,0.64,19.2,19.2,0 - 1.0,18.0-35.0,0 - 396.0,0-12
3374-LXDEV,Female,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,Yes,13,2.98,89.4,1132.35,2.5-3.0,80.0-90.0,396.0-1142.5,12-24
3374-PZLXD,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,No,34,0.6566666666666666,19.7,675.6,0 - 1.0,18.0-35.0,396.0-1142.5,24-36
3374-TTZTK,Male,0,Yes,No,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,No,52,3.5433333333333334,106.3,5487.0,3.0-4.0,90.0-119.0,3779.0-8685.0,48-60
3376-BMGFE,Female,0,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes,4,2.3633333333333337,70.9,273.0,2.0-2.5,70.0-80.0,0 - 396.0,0-12
3378-AJRAO,Male,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,No,44,0.8283333333333334,24.85,1013.6,0 - 1.0,18.0-35.0,396.0-1142.5,36-48
3384-CTMSF,Male,0,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,No,47,3.4699999999999998,104.1,5135.15,3.0-4.0,90.0-119.0,3779.0-8685.0,36-48
3387-PLKUI,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,No,13,0.6266666666666667,18.8,251.25,0 - 1.0,18.0-35.0,0 - 396.0,12-24
3387-VATUS,Male,0,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes,5,3.1616666666666666,94.85,462.8,3.0-4.0,90.0-119.0,396.0-1142.5,0-12
3389-KTRXV,Female,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,No,23,0.795,23.85,625.65,0 - 1.0,18.0-35.0,396.0-1142.5,12-24
3389-YGYAI,Female,1,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,8,3.5166666666666666,105.5,829.55,3.0-4.0,90.0-119.0,396.0-1142.5,0-12
3391-JSQEW,Male,0,Yes,No,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,No,40,1.6716666666666666,50.15,2058.5,1.5-2.0,50.0-70.0,1389.0-3411.5,36-48
3392-EHMNK,Female,0,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),No,67,3.1366666666666663,94.1,6302.8,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
3393-FMZPV,Female,0,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,25,3.341666666666667,100.25,2387.75,3.0-4.0,90.0-119.0,1389.0-3411.5,24-36
3394-UQYIB,Female,1,Yes,No,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),Yes,2,1.6716666666666666,50.15,115.1,1.5-2.0,50.0-70.0,0 - 396.0,0-12
3396-DKDEL,Female,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No,70,3.8383333333333334,115.15,8250.0,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
3397-AVTKU,Male,0,No,No,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,No,43,2.0,60.0,2548.55,2.0-2.5,50.0-70.0,1389.0-3411.5,36-48
3398-FSHON,Female,1,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes,12,3.0433333333333334,91.3,1094.5,3.0-4.0,90.0-119.0,396.0-1142.5,0-12
3398-GCPMU,Female,1,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No,72,2.985,89.55,6448.85,2.5-3.0,80.0-90.0,3779.0-8685.0,60+
3398-ZOUAA,Male,1,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,21,2.3033333333333332,69.1,1474.75,2.0-2.5,50.0-70.0,1389.0-3411.5,12-24
3399-BMLVW,Male,0,Yes,Yes,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),No,51,2.0166666666666666,60.5,3121.45,2.0-2.5,50.0-70.0,1389.0-3411.5,48-60
3400-ESFUW,Male,0,Yes,Yes,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),Yes,55,1.9183333333333332,57.55,3046.4,1.5-2.0,50.0-70.0,1389.0-3411.5,48-60
3401-URHDA,Male,0,No,No,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),No,51,1.9966666666666666,59.9,3043.6,1.5-2.0,50.0-70.0,1389.0-3411.5,48-60
3402-XRIUO,Female,1,Yes,No,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,No,22,2.118333333333333,63.55,1381.8,2.0-2.5,50.0-70.0,1142.5-1389.0,12-24
3404-JNXAX,Female,0,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,No,51,2.691666666666667,80.75,4116.9,2.5-3.0,80.0-90.0,3779.0-8685.0,48-60
3407-JMJQQ,Female,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),No,71,3.6333333333333333,109.0,7661.8,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
3407-QGWLG,Male,0,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,No,3,0.6683333333333333,20.05,75.45,0 - 1.0,18.0-35.0,0 - 396.0,0-12
3410-MHHUM,Female,0,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,No,44,3.146666666666667,94.4,4295.35,3.0-4.0,90.0-119.0,3779.0-8685.0,36-48
3410-YOQBQ,Female,0,No,No,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,No,31,2.64,79.2,2497.2,2.5-3.0,70.0-80.0,1389.0-3411.5,24-36
